Gene	withingroup.factor	acrossgroup.factor	rescale.factor
MIR3135A	1	1	1
MIR3135B	1	1	1
MIR3136	1	1	1
MIR3137	1	1	1
MIR3138	1	1	1
MIR3139	1	1	1
MIR3140	1	1	1
MIR3141	1	1	1
MIR3142	1	1	1
MIR3143	1	1	1
MIR3144	1	1	1
MIR3145	1	1	1
MIR3146	1	1	1
MIR3147	1	1	1
MIR3148	1	1	1
MIR3150B	1	1	1
MIR3151	1	1	1
MIR3152	1	1	1
MIR3153	1	1	1
MIR3154	1	1	1
MIR3155A	1	1	1
MIR3156-1	1	1	1
MIR3156-2	1	1	1
MIR3156-3	1	1	1
MIR3157	1	1	1
MIR3158-1	1	1	1
MIR3159	1	1	1
MIR3160-2	1	1	1
MIR3161	1	1	1
MIR3162	1	1	1
MIR3163	1	1	1
MIR3164	1	1	1
MIR3165	1	1	1
MIR3166	1	1	1
MIR3167	1	1	1
MIR3168	1	1	1
MIR3169	1	1	1
MIR3170	1	1	1
MIR3173	1	1	1
MIR3174	1	1	1
MIR3175	1	1	1
MIR3176	1	1	1
MIR3177	1	1	1
MIR3178	1	1	1
MIR3179-1	1	1	1
MIR3179-2	1	1	1
MIR3179-3	1	1	1
MIR3180-1	1	1	1
MIR3180-2	1	1	1
MIR3180-3	1	1	1
MIR3180-4	1	1	1
MIR3180-5	1	1	1
MIR3182	1	1	1
MIR3183	1	1	1
MIR3184	1	1	1
MIR3185	1	1	1
MIR3186	1	1	1
MIR3187	1	1	1
MIR3188	1	1	1
MIR3189	1	1	1
MIR3191	1	1	1
MIR3192	1	1	1
MIR3193	1	1	1
MIR3194	1	1	1
MIR3196	1	1	1
MIR3197	1	1	1
MIR3198-1	1	1	1
MIR3198-2	1	1	1
MIR3199-2	1	1	1
MIR31HG	1	1	1
MIR32	1	1	1
MIR3200	1	1	1
MIR3201	1	1	1
MIR3202-1	1	1	1
MIR320A	1	1	1
MIR320B1	1	1	1
MIR320B2	1	1	1
MIR320C1	1	1	1
MIR320C2	1	1	1
MIR320D1	1.032	1	1.032
MIR320D2	1	1	1
MIR320E	1	1	1
MIR323A	1	1	1
MIR323B	1	1	1
MIR324	1	1	1
MIR325	1	1	1
MIR326	1	1	1
MIR328	1	1	1
MIR329-1	1	1	1
MIR329-2	1	1	1
MIR330	1	1	1
MIR331	1	1	1
MIR335	1	1	1
MIR337	1	1	1
MIR338	1	1	1
MIR339	1	1	1
MIR33A	1	1	1
MIR33B	1	1	1
MIR340	1	1	1
MIR342	1	1	1
MIR345	1	1	1
MIR346	1	1	1
MIR34A	1	1	1
MIR34B	1	1	1
MIR34C	1	1	1
MIR3605	1	1	1
MIR3607	1	1	1
MIR3609	1	1	1
MIR361	1	1	1
MIR3610	1	1	1
MIR3611	1	1	1
MIR3612	1	1	1
MIR3613	1	1	1
MIR3614	1	1	1
MIR3615	1	1	1
MIR3616	1	1	1
MIR3617	1	1	1
MIR3618	1	1	1
MIR3619	1	1	1
MIR362	1	1	1
MIR3620	1	1	1
MIR3621	1	1	1
MIR3622A	1	1	1
MIR363	1	1	1
MIR3646	1	1	1
MIR3648	1	1	1
MIR3649	1	1	1
MIR3650	1	1	1
MIR3652	1	1	1
MIR3654	2.444	18	18
MIR3655	1	1	1
MIR3656	1	1	1
MIR3657	1	1	1
MIR3659	1	1	1
MIR365A	1	1	1
MIR365B	1	1	1
MIR3660	1	1	1
MIR3661	1	1	1
MIR3663	1	1	1
MIR3664	1	1	1
MIR3665	1	1	1
MIR3666	1	1	1
MIR3667	1	1	1
MIR3668	1	1	1
MIR367	1	1	1
MIR3670-1	1	1	1
MIR3670-2	1	1	1
MIR3671	1.12	1	1.12
MIR3672	1	1	1
MIR3675	1	1	1
MIR3676	1	1	1
MIR3677	1	1	1
MIR3678	1	1	1
MIR3679	1	1	1
MIR3680-1	1	1	1
MIR3680-2	1	1	1
MIR3681	1	1	1
MIR3682	1	1	1
MIR3683	1	1	1
MIR3684	1	1	1
MIR3685	1	1	1
MIR3686	1	1	1
MIR3687	1	1	1
MIR3688-2	1	1	1
MIR3689A	1	1	1
MIR3689B	1	1	1
MIR3689C	1	1	1
MIR3689D1	1	1	1
MIR3689D2	1	1	1
MIR3689E	1	1	1
MIR3689F	1	1	1
MIR369	1	1	1
MIR3690	1	1	1
MIR3691	1	1	1
MIR3692	1	1	1
MIR370	1	1	1
MIR3713	1	1	1
MIR3714	1	1	1
MIR371A	1	1	1
MIR371B	1	1	1
MIR372	1	1	1
MIR373	1	1	1
MIR374A	1	1	1
MIR374B	1	1	1
MIR375	1	1	1
MIR376A1	1	1	1
MIR376C	1	1	1
MIR377	1	1	1
MIR378A	1	1	1
MIR378B	1	1	1
MIR378C	1	1	1
MIR378D1	1	1	1
MIR378D2	1	1	1
MIR378E	1	1	1
MIR378F	1	1	1
MIR378G	1	1	1
MIR378H	1	1	1
MIR378I	1	1	1
MIR379	1	1	1
MIR380	1	1	1
MIR381	1	1	1
MIR381HG	1	1	1
MIR382	1	1	1
MIR383	1	1	1
MIR3907	1	1	1
MIR3908	1	1	1
MIR3909	1	1	1
MIR3910-1	1	1	1
MIR3911	1	1	1
MIR3912	1	1	1
MIR3913-2	1	1	1
MIR3914-1	1	1	1
MIR3915	1	1	1
MIR3916	1	1.017	1.017
MIR3917	1	1	1
MIR3918	1	1	1
MIR3919	1	1	1
MIR3920	1	1	1
MIR3921	1	1	1
MIR3922	1	1	1
MIR3923	1	1	1
MIR3924	1	1	1
MIR3925	1	1	1
MIR3926-2	1	1	1
MIR3927	1	1	1
MIR3928	1	1	1
MIR3929	1	1	1
MIR3934	1	1	1
MIR3935	1	1	1
MIR3936	1	1	1
MIR3937	1	1	1
MIR3938	1	1	1
MIR3939	1	1	1
MIR3940	1	1	1
MIR3941	1	1	1
MIR3942	1	1	1
MIR3943	1	1	1
MIR3944	1	1	1
MIR3945	1	1	1
MIR3960	1	1	1
MIR3972	1	1	1
MIR3973	1	1	1
MIR3976	1	1	1
MIR3978	1	1	1
MIR409	1	1	1
MIR410	1	1	1
MIR411	1	1	1
MIR412	1	1	1
MIR421	1	1	1
MIR422A	1	1	1
MIR423	1	1	1
MIR425	1	1	1
MIR4252	1	1	1
MIR4253	1	1	1
MIR4254	1	1	1
MIR4255	1	1	1
MIR4257	1	1	1
MIR4258	1	1	1
MIR4260	1	1	1
MIR4261	1	1	1
MIR4262	1	1	1
MIR4263	1	1	1
MIR4264	1	1	1
MIR4265	1	1	1
MIR4266	1	1	1
MIR4267	1	1	1
MIR4268	1	1	1
MIR4269	1	1	1
MIR4270	1	1	1
MIR4271	1	1	1
MIR4273	1	1	1
MIR4274	1	1	1
MIR4276	1	1	1
MIR4277	1	1	1
MIR4279	1	1	1
MIR4280	1	1	1
MIR4281	1	1	1
MIR4282	1	1	1
MIR4283-1	1	1	1
MIR4283-2	1	1	1
MIR4284	1	1	1
MIR4285	1	1	1
MIR4286	1	1	1
MIR4287	1	1	1
MIR4288	1	1	1
MIR4289	1	1	1
MIR429	1	1	1
MIR4290	1	1	1
MIR4291	1	1	1
MIR4292	1	1	1
MIR4293	1	1	1
MIR4294	1	1	1
MIR4295	1	1	1
MIR4296	1	1	1
MIR4297	1	1	1
MIR4298	1	1	1
MIR4299	1	1	1
MIR4300	1	1	1
MIR4301	1	1	1
MIR4303	1	1	1
MIR4304	1	1	1
MIR4305	1	1	1
MIR4306	1	1	1
MIR4307	1	1	1
MIR4308	1	1	1
MIR4309	1	1	1
MIR431	1	1	1
MIR4310	1	1	1
MIR4311	1	1	1
MIR4312	1	1	1
MIR4313	1	1	1
MIR4314	1	1	1
MIR4316	1	1	1
MIR4318	1	1	1
MIR4319	1	1	1
MIR432	1	1	1
MIR4321	1	1	1
MIR4322	1	1	1
MIR4323	1	1	1
MIR4324	1	1	1
MIR4325	1	1	1
MIR4326	1	1	1
MIR4327	1	1	1
MIR4329	1	1	1
MIR433	1	1	1
MIR4330	1	1	1
MIR4417	1	1	1
MIR4418	1	1	1
MIR4419A	1	1	1
MIR4419B	1	1	1
MIR4420	1	1	1
MIR4421	1	1	1
MIR4422	1	1	1
MIR4423	1	1	1
MIR4424	1	1	1
MIR4425	1	1	1
MIR4427	1	1	1
MIR4428	1	1	1
MIR4429	1	1	1
MIR4431	1	1	1
MIR4432	1	1	1
MIR4433	1	1	1
MIR4435-1	1	1	1
MIR4435-1HG	1	1	1
MIR4435-2	1	1	1
MIR4436A	1	1	1
MIR4436B1	1	1	1
MIR4436B2	1	1	1
MIR4437	1	1	1
MIR4438	1	1	1
MIR4439	1	1	1
MIR4440	1	1	1
MIR4441	1	1	1
MIR4442	1	1	1
MIR4443	1	1	1
MIR4444-1	1	1	1
MIR4445	1	1	1
MIR4446	1	1	1
MIR4447	1	1	1
MIR4448	1	1	1
MIR4449	1	1	1
MIR4450	1	1	1
MIR4451	1	1	1
MIR4452	1	1	1
MIR4453	1	1	1
MIR4454	1	1	1
MIR4455	1	1	1
MIR4456	1	1	1
MIR4457	1	1	1
MIR4458HG	1	1	1
MIR4459	1	1	1
MIR4460	1	1	1
MIR4461	1	1	1
MIR4462	1	1	1
MIR4463	1	1	1
MIR4464	1	1	1
MIR4465	1	1	1
MIR4466	1	1	1
MIR4467	1	1	1
MIR4468	1	1	1
MIR4469	1	1	1
MIR4470	1	1	1
MIR4471	1	1	1
MIR4472-1	1	1	1
MIR4472-2	1	1	1
MIR4473	1	1	1
MIR4474	1	1	1
MIR4475	1	1	1
MIR4476	1	1	1
MIR4477B	1	1	1
MIR4478	1	1	1
MIR4479	1	1	1
MIR448	1	1	1
MIR4480	1	1	1
MIR4482-1	1	1	1
MIR4484	1	1	1
MIR4486	1	1	1
MIR4487	1	1	1
MIR4488	1	1	1
MIR4489	1	1	1
MIR4490	1	1	1
MIR4491	1	1	1
MIR4492	1	1	1
MIR4493	1	1	1
MIR4494	1	1	1
MIR4495	1	1	1
MIR4497	1	1	1
MIR4498	1	1	1
MIR4499	1	1	1
MIR449A	1	1	1
MIR449B	1	1	1
MIR449C	1	1	1
MIR4500	1	1	1
MIR4500HG	1	1	1
MIR4502	1	1	1
MIR4503	1	1	1
MIR4504	1	1	1
MIR4505	1	1	1
MIR4506	1	1	1
MIR4508	1	1	1
MIR4509-1	1	1	1
MIR4509-2	1	1	1
MIR4509-3	1	1	1
MIR450A1	1	1	1
MIR450A2	1	1	1
MIR450B	1	1	1
MIR4510	1	1	1
MIR4511	1	1	1
MIR4512	1	1	1
MIR4513	1	1	1
MIR4514	1	1	1
MIR4515	1	1	1
MIR4516	1	1	1
MIR4517	1	1	1
MIR4518	1	1	1
MIR4519	1.096	1	1.096
MIR452	1	1	1
MIR4520A	1	1	1
MIR4522	1	1	1
MIR4523	1	1	1
MIR4524B	1	1	1
MIR4525	1	1	1
MIR4526	1	1	1
MIR4527	1	1	1
MIR4529	1	1	1
MIR4530	1	1	1
MIR4532	1	1	1
MIR4533	1	1	1
MIR4534	1	1	1
MIR4535	1	1	1
MIR454	1	1	1
MIR4540	1	1	1
MIR455	1	1	1
MIR4632	1	1	1
MIR4633	1	1	1
MIR4634	1	1	1
MIR4635	1	1	1
MIR4636	1	1	1
MIR4637	1	1	1
MIR4638	1	1	1
MIR4639	1	1	1
MIR4640	1	1	1
MIR4641	1	1	1
MIR4642	1	1	1
MIR4643	1	1	1
MIR4644	1	1	1
MIR4645	1	1	1
MIR4646	1	1	1
MIR4647	1	1	1
MIR4648	1	1	1
MIR4649	1	1	1
MIR4650-1	1	1	1
MIR4650-2	1	1	1
MIR4651	1	1	1
MIR4652	1	1	1
MIR4653	1	1	1
MIR4654	1	1	1
MIR4655	1	1	1
MIR4656	1	1	1
MIR4657	1	1	1
MIR4658	1	1	1
MIR4659B	1	1	1
MIR4660	1	1	1
MIR4661	1	1	1
MIR4662B	1	1	1
MIR4663	1	1	1
MIR4664	1	1	1
MIR4665	1	1	1
MIR4666A	1	1	1
MIR4666B	1	1	1
MIR4667	1	1	1
MIR4668	1	1	1
MIR4669	1	1	1
MIR4670	1	1	1
MIR4671	1	1	1
MIR4672	1	1	1
MIR4673	1	1	1
MIR4674	1	1	1
MIR4675	1	1	1
MIR4676	1	1	1
MIR4677	1	1	1
MIR4679-2	1	1	1
MIR4680	1	1	1
MIR4681	1	1	1
MIR4682	1	1	1
MIR4683	1	1	1
MIR4684	1	1	1
MIR4685	1	1	1
MIR4686	1	1	1
MIR4687	1	1	1
MIR4688	1	1	1
MIR4689	1	1	1
MIR4690	1	1	1
MIR4691	1	1	1
MIR4692	1	1	1
MIR4693	1	1	1
MIR4694	1	1	1
MIR4695	1	1	1
MIR4696	1	1	1
MIR4697	1	1	1
MIR4698	1	1	1
MIR4699	1	1	1
MIR4700	1	1	1
MIR4701	1	1	1
MIR4703	1	1	1
MIR4704	1	1	1
MIR4705	1	1	1
MIR4706	1	1	1
MIR4707	1	1	1
MIR4708	1	1	1
MIR4709	1	1	1
MIR4710	1	1	1
MIR4711	1	1	1
MIR4712	1	1	1
MIR4713	1	1	1
MIR4714	1	1	1
MIR4715	1	1	1
MIR4716	1	1	1
MIR4717	1	1	1
MIR4718	1	1	1
MIR4719	1	1	1
MIR4720	1	1	1
MIR4721	1	1	1
MIR4722	1	1	1
MIR4723	1	1	1
MIR4724	1	1	1
MIR4725	1	1	1
MIR4726	1	1	1
MIR4727	1	1	1
MIR4728	1	1	1
MIR4729	1	1	1
MIR4730	1	1	1
MIR4731	1	1	1
MIR4733	1	1	1
MIR4734	1	1	1
MIR4735	1	1	1
MIR4736	1	1	1
MIR4737	1	1	1
MIR4738	1	1	1
MIR4739	1	1	1
MIR4740	1	1	1
MIR4741	1	1	1
MIR4742	1	1	1
MIR4743	1	1	1
MIR4744	1	1	1
MIR4745	1	1	1
MIR4746	1	1	1
MIR4747	1	1	1
MIR4748	1	1	1
MIR4749	1	1	1
MIR4750	1	1	1
MIR4751	1	1	1
MIR4752	1	1	1
MIR4753	1	1	1
MIR4754	1	1	1
MIR4755	1	1	1
MIR4756	1	1	1
MIR4757	1	1	1
MIR4758	1	1	1
MIR4759	1	1	1
MIR4760	1	1	1
MIR4761	1	1	1
MIR4762	1	1	1
MIR4763	1	1	1
MIR4764	1	1	1
MIR4765	1	1	1
MIR4766	1	1	1
MIR4767	1	1	1
MIR4768	1	1	1
MIR4769	1	1	1
MIR4770	1	1	1
MIR4771-1	1	1	1
MIR4771-2	1	1	1
MIR4772	1	1	1
MIR4773-1	1	1	1
MIR4774	1	1	1
MIR4775	1	1	1
MIR4776-2	1	1	1
MIR4777	1	1	1
MIR4778	1	1	1
MIR4779	1	1	1
MIR4780	1	1	1
MIR4781	1	1	1
MIR4782	1	1	1
MIR4783	1	1	1
MIR4784	1	1	1
MIR4785	1	1	1
MIR4786	1	1	1
MIR4787	1	1	1
MIR4788	1	1	1
MIR4789	1	1	1
MIR4790	1	1	1
MIR4791	1	1	1
MIR4792	1	1	1
MIR4793	1	1	1
MIR4794	1	1	1
MIR4795	1	1	1
MIR4796	1	1	1
MIR4797	1	1	1
MIR4798	1	1	1
MIR4799	1	1	1
MIR4800	1	1	1
MIR4801	1	1	1
MIR4802	1	1	1
MIR4803	1	1	1
MIR4804	1	1	1
MIR483	1	1	1
MIR484	1	1	1
MIR485	1	1	1
MIR486	1	1	1
MIR487A	1	1	1
MIR487B	1	1	1
MIR488	1	1	1
MIR489	1	1	1
MIR490	1	1	1
MIR491	1	1	1
MIR492	1	1	1
MIR493	1	1	1
MIR494	1	1	1
MIR495	1	1	1
MIR496	1	1	1
MIR497HG	1	1	1
MIR498	1	1	1
MIR4999	1	1	1
MIR499A	1	1	1
MIR5000	1	1	1
MIR5001	1	1	1
MIR5002	1	1	1
MIR5003	1	1	1
MIR5004	1	1	1
MIR5006	1	1	1
MIR5007	1	1	1
MIR5008	1	1	1
MIR5009	1	1	1
MIR500A	1	1	1
MIR500B	1	1	1
MIR501	1	1	1
MIR5010	1	1	1
MIR5011	1	1	1
MIR502	1	1	1
MIR503	1	1	1
MIR503HG	1	1	1
MIR504	1	1	1
MIR5047	1	1	1
MIR505	1	1	1
MIR506	1	1	1
MIR507	1	1	1
MIR508	1	1	1
MIR5088	1	1	1
MIR5089	1	1	1
MIR5090	1	1	1
MIR5091	1	1	1
MIR509-1	1	1	1
MIR5092	1	1	1
MIR509-2	1	1	1
MIR5093	1	1	1
MIR509-3	1	1	1
MIR5094	1	1	1
MIR5095	1	1	1
MIR5096	1	1	1
MIR510	1	1	1
MIR5100	1	1	1
MIR511-1	1	1	1
MIR511-2	1	1	1
MIR512-1	1	1	1
MIR512-2	1	1	1
MIR513A1	1	1	1
MIR513A2	1	1	1
MIR513B	1	1	1
MIR513C	1	1	1
MIR514A1	1	1	1
MIR514A2	1	1	1
MIR514A3	1	1	1
MIR514B	1	1	1
MIR515-1	1	1	1
MIR515-2	1	1	1
MIR516A1	1	1	1
MIR516A2	1	1	1
MIR516B1	1	1	1
MIR516B2	1	1	1
MIR517A	1	1	1
MIR517B	1	1	1
MIR517C	1	1	1
MIR5186	1	1	1
MIR5187	1	1	1
MIR5188	1	1	1
MIR5189	1	1	1
MIR518A1	1	1	1
MIR518A2	1	1	1
MIR518B	1	1	1
MIR518C	1	1	1
MIR518D	1	1	1
MIR518E	1	1	1
MIR518F	1	1	1
MIR5190	1	1	1
MIR5191	1	1	1
MIR5192	1	1	1
MIR5193	1	1	1
MIR5194	1	1	1
MIR5196	1	1	1
MIR5197	1	1	1
MIR519A1	1	1	1
MIR519A2	1	1	1
MIR519B	1	1	1
MIR519C	1	1	1
MIR519D	1	1	1
MIR519E	1	1	1
MIR520A	1	1	1
MIR520B	1	1	1
MIR520C	1	1	1
MIR520D	1	1	1
MIR520E	1	1	1
MIR520F	1	1	1
MIR520G	1	1	1
MIR520H	1	1	1
MIR521-1	1	1	1
MIR521-2	1	1	1
MIR522	1	1	1
MIR523	1	1	1
MIR524	1	1	1
MIR525	1	1	1
MIR526A1	1	1	1
MIR526A2	1	1	1
MIR526B	1	1	1
MIR527	1	1	1
MIR532	1	1	1
MIR539	1	1	1
MIR541	1	1	1
MIR542	1	1	1
MIR543	1	1	1
MIR544A	1	1	1
MIR544B	1	1	1
MIR545	1	1	1
MIR548A1	1	1	1
MIR548A2	1	1	1
MIR548A3	1	1	1
MIR548AA1	1	1	1
MIR548AA2	1	1	1
MIR548AB	1	1	1
MIR548AC	1	1	1
MIR548AD	1	1	1
MIR548AE1	1	1	1
MIR548AE2	1	1	1
MIR548AG1	1	1	1
MIR548AG2	1	1	1
MIR548AH	1	1	1
MIR548AI	1	1	1
MIR548AJ1	1	1	1
MIR548AJ2	1	1	1
MIR548AK	1	1	1
MIR548AL	1	1	1
MIR548AM	1	1	1
MIR548AN	1	1	1
MIR548AO	1	1	1
MIR548AP	1	1	1
MIR548AQ	1	1	1
MIR548AR	1	1	1
MIR548AS	1	1	1
MIR548AT	1	1	1
MIR548AV	1	1	1
MIR548AW	1	1	1
MIR548AX	1	1	1
MIR548B	1	1	1
MIR548C	1	1	1
MIR548E	1	1	1
MIR548F1	1	1	1
MIR548F2	1	1	1
MIR548F3	1	1	1
MIR548F4	1	1	1
MIR548F5	1	1	1
MIR548G	1	1	1
MIR548H1	1	1	1
MIR548H2	1	1	1
MIR548H3	1	1	1
MIR548H4	1	1	1
MIR548H5	1	1	1
MIR548I1	1	1	1
MIR548I2	1	1	1
MIR548I3	1	1	1
MIR548I4	1	1	1
MIR548J	1	1	1
MIR548K	1	1	1
MIR548L	1	1	1
MIR548M	1	1	1
MIR548N	1	1	1
MIR548O	1	1	1
MIR548O2	1	1	1
MIR548P	1	1	1
MIR548Q	1	1	1
MIR548S	1	1	1
MIR548T	1	1	1
MIR548U	1	1	1
MIR548V	1	1	1
MIR548W	1	1	1
MIR548X	1	1	1
MIR548X2	1	1	1
MIR548Y	1	1	1
MIR549	1	1	1
MIR550A1	1	1	1
MIR550A2	1	1	1
MIR550A3	1	1	1
MIR551A	1	1	1
MIR551B	1	1	1
MIR552	1	1	1
MIR553	1	1	1
MIR554	1	1	1
MIR555	1	1	1
MIR556	1	1	1
MIR557	1	1	1
MIR5579	1	1	1
MIR558	1	1	1
MIR5580	1	1	1
MIR5581	1	1	1
MIR5582	1	1	1
MIR5583-1	1	1	1
MIR5584	1	1	1
MIR5585	1	1	1
MIR5586	1	1	1
MIR5587	1	1	1
MIR5589	1	1	1
MIR559	1	1	1
MIR5590	1	1	1
MIR5591	1	1	1
MIR561	1	1	1
MIR562	1	1	1
MIR563	1	1	1
MIR564	1	1	1
MIR566	1	1	1
MIR567	1	1	1
MIR568	1	1	1
MIR5680	1	1	1
MIR5681A	1	1	1
MIR5682	1	1	1
MIR5683	1	1	1
MIR5684	1	1	1
MIR5685	1	1	1
MIR5687	1	1	1
MIR5688	1	1	1
MIR5689	1	1	1
MIR569	1	1	1
MIR5690	1	1	1
MIR5691	1	1	1
MIR5692A1	1	1	1
MIR5692A2	1	1	1
MIR5692B	1	1	1
MIR5692C1	1	1	1
MIR5692C2	1	1	1
MIR5693	1	1	1
MIR5694	1	1	1
MIR5695	1	1	1
MIR5696	1	1	1
MIR5697	1	1	1
MIR5698	1	1	1
MIR5699	1	1	1
MIR570	1	1	1
MIR5700	1	1	1
MIR5701-1	1	1	1
MIR5701-2	1	1	1
MIR5702	1	1	1
MIR5703	1	1	1
MIR5704	1	1	1
MIR5705	1	1	1
MIR5706	1	1	1
MIR5707	1	1	1
MIR5708	1	1	1
MIR571	1	1	1
MIR572	1	1	1
MIR573	1	1	1
MIR574	1	1	1
MIR575	1	1	1
MIR576	1	1	1
MIR577	1	1	1
MIR578	1	1	1
MIR579	1	1	1
MIR580	1	1	1
MIR581	1	1	1
MIR582	1	1	1
MIR583	1	1	1
MIR584	1	1	1
MIR585	1	1	1
MIR586	1	1	1
MIR587	1	1	1
MIR588	1	1	1
MIR589	1	1	1
MIR590	1	1	1
MIR591	1	1	1
MIR592	1	1	1
MIR593	1	1	1
MIR595	1	1	1
MIR596	1	1	1
MIR597	1	1	1
MIR598	1	1	1
MIR599	1	1	1
MIR600HG	1	1	1
MIR601	1	1	1
MIR602	1	1	1
MIR603	1	1	1
MIR604	1	1	1
MIR605	1	1	1
MIR606	1	1	1
MIR607	1	1	1
MIR608	1	1	1
MIR609	1	1	1
MIR610	1	1	1
MIR611	1	1	1
MIR613	1	1	1
MIR614	1	1	1
MIR615	1	1	1
MIR616	1	1	1
MIR617	1	1	1
MIR618	1	1	1
MIR619	1	1	1
MIR620	1	1	1
MIR621	1	1	1
MIR622	1	1	1
MIR623	1	1	1
MIR624	1	1	1
MIR625	1	1	1
MIR626	1	1	1
MIR627	1	1	1
MIR628	1	1	1
MIR629	1	1	1
MIR630	1	1	1
MIR631	1	1	1
MIR632	1	1	1
MIR633	1	1	1
MIR634	1	1	1
MIR635	1	1	1
MIR636	1	1	1
MIR637	1	1	1
MIR638	1	1	1
MIR639	1	1	1
MIR640	1	1	1
MIR641	1	1	1
MIR642A	1	1	1
MIR643	1	1	1
MIR644A	1	1	1
MIR645	1	1	1
MIR646	1	1	1
MIR647	1	1	1
MIR648	1	1	1
MIR649	1	1	1
MIR650	1	1	1
MIR651	1	1	1
MIR652	1	1	1
MIR653	1	1	1
MIR654	1	1	1
MIR655	1	1	1
MIR656	1	1	1
MIR657	1	1	1
MIR658	1	1	1
MIR659	1	1	1
MIR660	1	1	1
MIR661	1	1	1
MIR662	1	1	1
MIR663A	1	1	1
MIR663B	1	1	1
MIR665	1	1	1
MIR670	1	1	1
MIR671	1	1	1
MIR676	1	1	1
MIR708	1	1	1
MIR7-1	1	1	1
MIR711	1	1	1
MIR718	1	1	1
MIR7-2	1	1	1
MIR720	1	1	1
MIR7-3	1	1	1
MIR7-3HG	1	1	1
MIR744	1	1	1
MIR758	1	1	1
MIR759	1	1	1
MIR760	1	1	1
MIR761	1	1	1
MIR762	1	1	1
MIR764	1	1	1
MIR765	1	1	1
MIR766	1	1	1
MIR767	1	1	1
MIR769	1	1	1
MIR770	1	1	1
MIR802	1	1	1
MIR873	1	1	1
MIR874	1	1	1
MIR875	1	1	1
MIR876	1	1	1
MIR877	1	1	1
MIR885	1	1	1
MIR887	1	1	1
MIR888	1	1	1
MIR889	1	1	1
MIR890	1	1	1
MIR891A	1	1	1
MIR891B	1	1	1
MIR892A	1	1	1
MIR892B	1	1	1
MIR9-1	1	1	1
MIR920	1	1	1
MIR921	1	1	1
MIR922	1	1	1
MIR92A2	1	1	1
MIR92B	1	1	1
MIR93	1	1	1
MIR9-3	1	1	1
MIR933	1	1	1
MIR934	1	1	1
MIR935	1	1	1
MIR936	1	1	1
MIR937	1	1	1
MIR938	1	1	1
MIR939	1	1	1
MIR940	1	1	1
MIR941-1	1	1	1
MIR941-2	1	1	1
MIR941-3	1	1	1
MIR942	1	1	1
MIR943	1	1	1
MIR944	1	1	1
MIR95	1	1	1
MIR96	1	1	1
MIR98	1	1	1
MIR99A	1	1	1
MIR99B	1	1	1
MIRLET7A1	1	1	1
MIRLET7A2	1	1	1
MIRLET7A3	1	1	1
MIRLET7B	1	1	1
MIRLET7C	1	1	1
MIRLET7D	1	1	1
MIRLET7DHG	1	1	1
MIRLET7E	1	1	1
MIRLET7F1	1	1	1
MIRLET7F2	1	1	1
MIRLET7G	1	1	1
MIRLET7I	1	1	1
MIS12	1.118	1.234	1.234
MIS18A	1.277	3.314	3.314
MIS18A-AS1	1	1	1
MIS18BP1	1.904	1.405	1.904
MISP	1	1	1
MITD1	1.043	1.895	1.895
MITF	1.052	1.697	1.697
MIXL1	1	1	1
MKI67	2.002	2.093	2.093
MKI67IP	4.453	1.287	4.453
MKKS	2.261	1.142	2.261
MKL1	1.019	1	1.019
MKL2	1.077	1.24	1.24
MKLN1	1.443	2.105	2.105
MKLN1-AS1	1.391	1.025	1.391
MKLN1-AS2	1.038	1	1.038
MKNK1	1.212	1.04	1.212
MKNK1-AS1	1	1	1
MKNK2	2.444	1.213	2.444
MKRN1	2.013	2.294	2.294
MKRN2	1.312	1.818	1.818
MKRN3	1	1	1
MKRN9P	1	1	1
MKS1	1.04	1	1.04
MKX	1	1	1
MLANA	1	1	1
MLC1	1	1	1
MLEC	1.243	2.488	2.488
MLF1	1	1	1
MLF1IP	4.738	2.076	4.738
MLF2	4.347	2.808	4.347
MLH1	2.591	5.961	5.961
MLH3	1	1	1
MLIP	1	1	1
MLIP-AS1	1	1	1
MLIP-IT1	1	1	1
MLK4	1.221	1.442	1.442
MLK7-AS1	1	1	1
MLKL	1	1	1
MLLT1	1	1	1
MLLT10	1.476	1.528	1.528
MLLT11	2.577	4.774	4.774
MLLT3	1	1.164	1.164
MLLT4	1	1.903	1.903
MLLT4-AS1	1	1	1
MLLT6	1.348	2.575	2.575
MLN	1	1	1
MLNR	1	1	1
MLPH	1	1	1
MLST8	1.61	2.128	2.128
MLTK	1	1	1
MLX	1.098	2.325	2.325
MLXIP	1.215	5.077	5.077
MLXIPL	1	1	1
MLYCD	1	2.366	2.366
MMAA	1.047	1	1.047
MMAB	1.3	3.061	3.061
MMACHC	1.228	1.088	1.228
MMADHC	2.447	3.147	3.147
MMD	1.846	1.663	1.846
MMD2	1	1	1
MME	1.244	2.03	2.03
MME-AS1	1	1	1
MMEL1	1	1	1
MMGT1	1.832	4.284	4.284
MMP1	1	1	1
MMP10	1	1	1
MMP11	1.031	1.044	1.044
MMP12	1	1	1
MMP13	1	1	1
MMP14	1	1	1
MMP15	1.09	1.114	1.114
MMP16	1	1.182	1.182
MMP17	1	1.274	1.274
MMP19	1	1	1
MMP2	1	1	1
MMP20	1	1	1
MMP21	1	1	1
MMP23B	1	1	1
MMP24	1	1.004	1.004
MMP24-AS1	1.009	2.665	2.665
MMP25	1.047	1	1.047
MMP26	1	1	1
