Gene	withingroup.factor	acrossgroup.factor	rescale.factor
AC004817.1	1	1	1
AC004824.1	1	1	1
AC004824.2	1	1	1
AC004837.4	1	1	1
AC004837.5	1	1	1
AC004840.8	1	1	1
AC004840.9	1	1	1
AC004851.1	1	1	1
AC004854.4	1.007	1.01	1.01
AC004862.6	1	1	1
AC004869.2	1	1	1
AC004869.3	1	1	1
AC004870.3	1	1	1
AC004870.4	1	1	1
AC004875.1	1	1	1
AC004878.2	1	1	1
AC004878.7	1	1	1
AC004878.8	1	1	1
AC004893.11	1	1	1
AC004895.1	1	1	1
AC004895.4	1	1	1
AC004899.1	1	1	1
AC004901.1	1	1	1
AC004906.3	1	1	1
AC004920.3	1	1	1
AC004924.1	1	1	1
AC004941.3	1	1	1
AC004943.1	1	1	1
AC004947.2	1	1	1
AC004951.6	1	1	1
AC004969.1	1	1	1
AC004980.1	1	1	1
AC004980.7	1	1	1
AC004988.1	1	1	1
AC005000.2	1	1	1
AC005003.1	1	2.578	2.578
AC005008.2	1	1	1
AC005009.1	1	1	1
AC005009.2	1	1	1
AC005013.5	1	1	1
AC005019.3	1	1	1
AC005020.1	1	1	1
AC005022.1	1	1	1
AC005027.3	1	1	1
AC005029.1	1	1	1
AC005037.2	1	1	1
AC005037.3	1	1	1
AC005041.17	1	1	1
AC005042.4	1	1	1
AC005042.5	1	1	1
AC005048.1	1	1	1
AC005062.2	1	1	1
AC005071.1	1	1	1
AC005076.5	1	1.16	1.16
AC005077.12	1	1	1
AC005077.5	1	1	1
AC005082.1	1	1	1
AC005082.12	1	1	1
AC005083.1	1	1	1
AC005088.1	1	1	1
AC005104.3	1	1	1
AC005150.1	1	1	1
AC005152.2	1	1	1
AC005152.3	1	1	1
AC005154.6	1.14	1	1.14
AC005159.1	1	1	1
AC005160.3	1	1	1
AC005161.1	1	1	1
AC005162.4	1	1	1
AC005162.5	1	1	1
AC005176.2	1	1	1
AC005195.1	1	1	1
AC005197.2	1	1	1
AC005215.1	1	1	1
AC005220.3	1	1	1
AC005224.2	1	1	1
AC005229.1	1	1	1
AC005235.1	1	1	1
AC005237.4	1	1	1
AC005253.2	1	1	1
AC005253.4	1	1	1
AC005256.1	1	1	1
AC005262.2	1	1	1
AC005262.3	1	1	1
AC005264.2	1	1	1
AC005276.1	1	1	1
AC005281.1	1	1	1
AC005281.2	1	1	1
AC005284.1	1	1	1
AC005288.1	1	1	1
AC005301.8	1	1	1
AC005304.1	1	1	1
AC005306.3	1	1	1
AC005307.1	1	1	1
AC005307.3	1	1	1
AC005324.6	1	1	1
AC005324.7	1	1	1
AC005329.7	1	1	1
AC005330.2	1	1	1
AC005339.2	1	1	1
AC005355.1	1	1	1
AC005355.2	1	1	1
AC005356.1	1	1	1
AC005358.1	1	1	1
AC005358.3	1	1	1
AC005370.1	1	1	1
AC005375.1	1	1	1
AC005387.2	1	1	1
AC005387.3	1	1	1
AC005391.2	1	1	1
AC005392.13	1	1	1
AC005394.1	1	1	1
AC005477.1	1	1	1
AC005481.5	1	1	1
AC005484.5	1	1	1
AC005487.2	1	1	1
AC005488.1	1	1	1
AC005493.1	1	1	1
AC005498.3	1	1	1
AC005498.4	1	1	1
AC005513.1	1	1	1
AC005518.2	1	1	1
AC005519.4	1	1	1
AC005522.7	1	1	1
AC005523.2	1	1	1
AC005523.3	1	1	1
AC005532.5	1	1	1
AC005534.8	1	1	1
AC005537.2	1	1	1
AC005538.5	1	1	1
AC005540.3	1	1	1
AC005544.1	1	1	1
AC005546.2	1	1	1
AC005549.1	1	1	1
AC005549.2	1	1	1
AC005549.3	1	1	1
AC005550.3	1	1	1
AC005550.4	1	1	1
AC005550.5	1	1	1
AC005559.2	1	1	1
AC005562.1	1	1	1
AC005592.1	1	1	1
AC005592.2	1	1	1
AC005592.3	1	1	1
AC005594.3	1	1	1
AC005597.1	1	1	1
AC005606.1	1	1	1
AC005606.14	1	1	1
AC005606.15	1	1	1
AC005609.1	1	1	1
AC005614.3	1	1	1
AC005614.5	1	1	1
AC005616.1	1	1	1
AC005616.2	1	1	1
AC005618.6	1	1	1
AC005621.1	1	1	1
AC005624.2	1	1	1
AC005625.1	1	1	1
AC005631.1	1	1	1
AC005682.5	1	1	1
AC005682.8	1	1	1
AC005686.1	1	1	1
AC005701.1	1	1	1
AC005702.1	1	1	1
AC005702.2	1	1	1
AC005702.3	1	1	1
AC005702.4	1	1	1
AC005703.2	1	1	1
AC005703.3	1	1	1
AC005725.1	1	1	1
AC005740.5	1	1	1
AC005740.6	1.024	1	1.024
AC005754.7	1	1	1
AC005754.8	1	1	1
AC005757.6	1	1	1
AC005757.7	1	1	1
AC005772.2	1	1	1
AC005775.2	1	1	1
AC005779.2	1	1	1
AC005780.1	1	1	1
AC005783.1	1	1	1
AC005785.2	1	1	1
AC005786.5	1	1	1
AC005786.7	1	1	1
AC005789.11	1	1	1
AC005789.9	1	1	1
AC005808.3	1	1	1
AC005841.1	1	1	1
AC005863.1	1	1	1
AC005863.2	1	1	1
AC005926.1	1	1	1
AC005932.1	1	1	1
AC005943.4	1	1.17	1.17
AC005943.5	1.03	1.519	1.519
AC005944.2	1	1	1
AC005954.3	1	1	1
AC005954.4	1	1	1
AC006000.5	1	1	1
AC006003.3	1	1	1
AC006004.1	1	1	1
AC006007.1	1	1	1
AC006014.1	1	1	1
AC006014.8	1	1	1
AC006019.3	1	1	1
AC006019.4	1	1	1
AC006026.1	1	1	1
AC006026.13	1	1	1
AC006037.2	1	1	1
